Year,Month,month_avg_price,days_count,year_return,sharpe,max_drawdown,1Y_Ann_Return,3Y_Ann_Return,5Y_Ann_Return,15Y_Ann_Return,20Y_Ann_Return
2009,7,30.394869679990023,23,0.7173720013026015,1.3494782245235895,-0.18010383143639866,,,,,
2009,8,31.005654198782786,21,0.7173720013026015,1.3494782245235895,-0.18010383143639866,,,,,
2009,9,33.492405978116125,22,0.7173720013026015,1.3494782245235895,-0.18010383143639866,,,,,
2009,10,34.33944806185636,22,0.7173720013026015,1.3494782245235895,-0.18010383143639866,,,,,
2009,11,34.0777219136556,21,0.7173720013026015,1.3494782245235895,-0.18010383143639866,,,,,
2009,12,34.72344920946204,23,0.7173720013026015,1.3494782245235895,-0.18010383143639866,,,,,
2010,1,35.96442565917969,20,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,2,33.32968168992262,13,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,3,34.3538990850034,23,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,4,35.27209163847424,21,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,5,33.09167771112351,21,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,6,32.186276662917365,21,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,7,33.683391397649594,22,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,8,35.09901861710982,22,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,9,36.080045609247115,21,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,10,36.48784255981445,21,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,11,36.546714782714844,22,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2010,12,38.326876598855726,23,0.08672585056238247,0.6016872689969547,-0.16787580215464903,0.7188927886528929,,,,
2011,1,39.2423755645752,20,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,2,38.56424495152065,14,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,3,37.8903923034668,23,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,4,39.037270395379316,19,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,5,39.41725503830683,21,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,6,38.47184099469866,21,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,7,38.473367055257164,21,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,8,34.90055017885955,23,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,9,33.80035736447289,21,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,10,33.456250953674314,20,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,11,32.372447360645644,22,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2011,12,31.399732416326348,22,-0.1894220748510872,-0.88036720599482,-0.25809527899872037,0.08761059879120192,,,,
2012,1,32.34842109680176,15,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,2,34.74274966591283,19,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,3,35.3468601920388,22,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,4,34.06886291503906,20,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,5,32.65761019966819,22,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,6,31.54327456156413,21,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,7,32.15813307328658,22,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,8,33.71800115834112,23,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,9,34.87391662597656,20,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,10,33.99858994917436,22,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,11,32.734587756070226,22,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2012,12,34.38959865570068,20,0.09661609981256136,0.578945503411258,-0.1485712377296765,-0.20162716094233102,0.1428151562800284,,,
2013,1,34.72724862532182,22,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,2,35.54586410522461,12,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,3,35.28583762759254,21,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,4,35.144940567016604,20,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,5,36.93160126426003,22,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,6,35.37409953067177,19,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,7,36.19466234290081,23,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,8,35.46147918701172,21,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,9,36.761717545358756,19,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,10,37.53481327403676,22,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,11,37.13571275983538,21,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2013,12,37.83527825095437,22,0.1044445090617796,0.9916287190685018,-0.09710394877579273,0.10884593983432644,-0.012546170367623843,,,
2014,1,9.54545095231798,18,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,2,9.44023255740895,17,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,3,9.697024254571824,21,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,4,10.037037440708705,21,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,5,10.194537253606887,21,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,6,10.560638189315796,20,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,7,11.12756115457286,23,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,8,11.041835603259859,21,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,9,11.106321516491118,21,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,10,10.951337944377553,22,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,11,11.975776147842407,20,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2014,12,11.956330921338951,23,0.2620465653234001,-0.670057065866169,-0.09240678198602204,-0.7245944466647544,-0.37528315119361844,-0.14541675131277054,,
2015,1,12.134080171585083,20,-0.058581274628400015,-0.3194366358753275,-0.20962204874257817,0.25638275925405707,-0.2733555558648404,-0.19734482265790065,,
2015,2,12.555468632624699,13,-0.058581274628400015,-0.3194366358753275,-0.20962204874257817,0.25638275925405707,-0.2733555558648404,-0.19734482265790065,,
2015,3,12.636290463534268,22,-0.058581274628400015,-0.3194366358753275,-0.20962204874257817,0.25638275925405707,-0.2733555558648404,-0.19734482265790065,,
2015,4,12.719669198989868,20,-0.058581274628400015,-0.3194366358753275,-0.20962204874257817,0.25638275925405707,-0.2733555558648404,-0.19734482265790065,,
2015,5,12.849849891662597,20,-0.058581274628400015,-0.3194366358753275,-0.20962204874257817,0.25638275925405707,-0.2733555558648404,-0.19734482265790065,,
